neuron_id,input_drive,dominant_input
0,3.154313,345
1,5.648598,96
2,5.298296,379
3,4.480256,385
4,2.555848,296
5,3.928234,321
7,3.562770,385
8,2.563534,26
9,6.968966,379
11,3.079424,388
12,2.429366,679
13,1.674700,123
14,1.864386,290
15,2.476472,715
16,6.414830,462
17,3.539334,610
19,2.700415,532
21,4.639294,160
22,4.028544,685
24,2.975782,293
25,4.807741,268
28,2.970679,23
29,4.625468,285
30,0.708742,462
31,2.451472,296
32,4.550194,398
33,1.104612,308
34,4.654607,218
35,2.470083,351
36,5.052444,118
37,2.836773,619
38,2.401125,292
39,3.168117,618
40,2.280363,285
41,1.569617,467
42,1.822709,267
43,1.442479,85
44,6.552124,630
45,4.566368,619
46,6.131992,84
47,4.230536,490
48,3.588553,618
49,3.862789,85
50,2.960120,200
51,2.982911,363
52,3.552082,477
53,2.980545,89
54,7.688195,132
55,2.561426,357
56,2.424442,715
57,4.916943,388
59,3.008001,357
60,2.634904,509
61,3.890649,490
63,1.632822,366
64,5.801001,144
65,3.956467,321
66,3.361158,640
67,4.024530,85
68,2.645946,345
69,3.542920,287
70,2.636130,724
71,2.588255,602
73,4.310043,517
74,4.836244,604
75,4.992019,416
76,4.217984,399
77,1.735492,346
78,4.580401,18
79,5.399544,399
80,4.492597,355
81,2.128411,567
82,2.326084,58
83,6.490594,58
86,5.060622,372
87,1.111055,660
88,1.932933,349
92,2.116539,532
93,3.516302,362
94,4.553768,267
95,2.459710,265
97,4.041464,592
99,3.256260,588
100,2.442265,18
101,2.624192,588
103,3.604754,318
104,2.195538,170
105,2.446019,350
106,2.415207,372
107,3.943732,490
108,3.849593,516
109,2.003224,399
110,2.244954,388
111,2.524094,62
112,7.100053,346
113,6.121283,351
114,4.795582,357
115,1.993384,379
116,3.952315,287
117,2.789703,592
119,3.280850,416
120,3.859042,610
121,3.987112,604
122,5.020618,177
124,2.178842,321
125,2.478339,470
126,2.625392,27
127,2.687365,602
128,4.366495,144
129,1.799515,321
130,5.968809,701
131,3.467352,289
133,4.636212,265
134,2.978614,553
135,4.148571,355
137,2.564946,640
138,1.295031,517
139,4.027390,685
140,3.735292,604
141,1.960448,102
142,3.895684,58
143,1.503477,490
145,0.723030,123
146,2.399567,90
148,2.115409,592
149,3.040977,457
150,4.415725,477
151,3.842970,602
152,5.311249,305
153,2.567425,350
154,1.902980,623
155,3.300226,466
156,3.697615,89
157,4.920821,200
158,1.479737,490
161,2.621493,308
162,5.429472,246
163,3.433211,10
164,3.324397,553
165,3.525751,618
166,4.832674,177
167,4.849582,318
168,2.958357,211
169,2.768181,318
171,4.067705,211
172,1.982380,62
173,4.569857,385
174,5.091258,457
175,6.866705,62
176,1.633755,532
178,2.053862,62
179,3.579218,535
180,3.802760,470
181,2.895525,363
182,3.033028,397
183,1.964100,246
184,2.357939,246
185,3.948714,576
186,5.029715,58
187,3.093874,551
188,3.215177,517
189,5.803012,289
190,1.424666,526
191,5.663426,346
193,5.123490,457
194,2.643854,351
195,2.902908,293
196,4.018053,588
197,2.655299,160
198,2.596257,567
199,1.070886,388
201,5.637860,355
202,2.228235,592
203,4.240439,516
204,4.423270,366
205,2.504973,509
206,5.110794,623
207,1.314627,350
208,5.728578,85
209,2.294078,350
210,2.513130,395
212,6.145179,612
213,5.739498,707
214,1.827279,562
215,2.806404,18
216,7.007502,615
217,4.203497,136
219,1.860748,132
220,4.683923,355
221,2.836760,303
222,0.830656,624
223,2.091705,72
224,2.988060,366
225,2.296914,619
226,4.841087,6
227,2.693604,619
228,4.078007,567
229,3.834542,462
230,3.854712,293
231,3.699965,615
232,3.410409,619
233,4.774261,268
235,3.505686,467
236,3.303290,398
237,1.287829,144
238,3.066710,493
239,1.233055,615
241,2.488660,462
242,4.805070,457
243,5.001848,345
244,9.529874,398
245,4.053188,567
247,5.942819,477
248,2.561569,23
249,1.883072,321
250,5.544425,287
251,5.104378,303
252,5.034941,446
253,8.714228,634
254,2.839156,567
255,5.960825,132
256,3.222911,287
257,3.406489,457
258,7.173759,623
259,4.311746,397
260,1.443832,357
261,2.204078,502
262,2.429740,619
263,1.510475,535
264,3.016460,362
266,3.180894,618
269,3.301693,724
270,2.311034,240
271,8.162210,722
272,4.564313,509
273,3.720201,240
274,2.514508,325
275,4.782961,350
276,3.556282,290
277,3.778428,509
278,1.995083,287
279,2.919128,414
280,3.835623,27
281,4.529964,685
282,1.783802,490
283,2.566274,298
284,1.773562,62
286,2.729189,525
288,2.023305,701
291,3.415007,285
294,3.213710,268
297,5.406066,397
299,2.424502,289
300,4.060241,290
301,3.538234,532
302,3.130792,516
304,4.213308,10
306,2.788147,422
307,7.312639,10
309,3.824109,414
310,2.491794,619
311,2.064033,724
312,4.457371,10
313,2.632290,211
314,4.499857,89
315,3.413624,292
316,4.169510,724
317,2.844314,724
319,3.322796,415
320,3.918503,91
322,2.757172,615
323,1.894189,715
324,2.683902,372
326,3.571940,234
327,1.298020,136
328,3.287592,362
329,6.905411,724
330,2.743229,285
331,4.360336,701
332,1.952919,295
333,3.044617,457
334,2.749482,18
335,2.006138,562
336,3.758207,602
337,1.937958,679
338,2.437325,397
339,3.870394,351
340,3.229965,630
341,2.077985,562
342,4.719141,685
343,2.191714,10
344,3.732932,89
347,2.807585,305
348,6.988383,660
352,1.556272,477
353,4.280445,467
354,4.126144,535
356,1.324317,240
358,1.037717,685
359,3.590944,602
360,7.910054,457
361,3.733648,240
364,1.158028,287
365,3.178998,159
367,1.284689,144
368,2.427298,416
369,2.275074,604
370,6.120327,610
371,2.456653,457
373,4.012265,634
374,2.652280,525
375,1.900715,516
376,3.642457,399
377,4.564827,350
378,3.910667,345
380,3.600395,102
381,3.500508,623
382,4.027575,414
383,1.619860,58
384,2.522910,618
386,2.612808,62
387,1.346969,457
389,2.704781,295
390,3.179637,634
391,6.335016,345
392,2.364671,350
393,3.148958,399
394,3.216778,526
396,2.866939,634
400,2.763734,466
401,3.687986,715
402,2.795381,398
404,0.791989,298
405,2.764650,6
406,4.554972,634
407,2.979112,293
408,3.014135,308
409,3.219701,305
410,2.133830,62
411,2.089955,457
412,4.515359,349
413,3.367808,296
417,4.862958,553
418,2.576568,366
419,1.937173,10
420,3.725896,399
421,1.151332,123
423,3.049346,592
424,4.492748,388
425,3.594659,623
426,3.127666,526
427,3.557135,366
428,2.291652,553
429,2.031775,123
430,4.166753,303
431,2.378869,136
432,3.691180,246
433,3.449480,618
434,2.982297,701
435,2.760837,292
436,4.144329,490
437,4.343455,517
438,6.741121,346
439,4.230525,553
440,3.503371,466
441,1.097091,136
442,2.121899,398
443,4.743861,98
444,2.670367,602
445,2.182502,462
447,5.731046,662
448,1.156376,285
449,3.320857,398
450,3.352395,318
451,3.859006,318
452,1.799486,623
453,2.034662,562
454,4.750435,350
455,4.796949,136
456,2.574018,385
458,3.611597,660
459,5.364372,26
460,3.136221,170
461,3.224518,58
463,2.529690,467
464,2.430507,345
465,4.154087,363
468,4.190151,287
469,1.468716,351
471,5.182236,305
472,2.505028,414
473,3.469367,321
474,2.538285,362
475,4.954059,144
476,6.772879,604
478,3.020036,612
479,4.546667,305
480,2.347012,416
481,1.329393,298
482,3.332717,147
483,5.473390,679
484,2.621314,446
485,2.179431,318
486,5.085818,612
487,2.642635,6
488,2.248558,349
489,6.042356,477
491,6.883103,132
492,4.391581,290
494,2.389509,27
495,2.062689,295
496,5.093197,136
497,4.373252,634
498,4.737192,289
499,2.895571,147
500,3.963140,287
501,1.436333,679
503,2.658196,516
504,2.291660,6
505,1.972540,246
506,4.033618,345
507,3.717983,84
508,3.016377,576
510,3.253167,509
511,3.020557,147
512,3.759257,84
513,1.351173,265
514,5.038787,570
515,4.159234,147
518,2.691853,200
519,4.061632,362
520,4.117035,517
521,5.166642,516
522,3.781386,58
523,6.090995,490
524,2.976140,346
527,3.571177,415
528,2.474221,724
529,2.396266,490
530,7.909844,292
531,9.991885,385
533,3.424205,466
534,2.676521,234
536,2.286834,289
537,4.005623,701
538,1.252030,415
539,5.247140,325
540,4.694331,415
541,2.670670,457
542,3.533680,305
543,1.722371,325
544,2.896736,634
545,4.797812,509
546,2.891786,416
547,3.165100,570
548,1.647079,724
549,1.941833,385
550,3.676134,422
552,7.264919,592
554,1.667180,351
555,2.768697,27
556,2.693291,608
557,4.451633,362
558,3.061083,579
559,3.479977,23
560,1.364143,350
561,5.055831,366
563,1.622574,62
564,3.670624,211
565,5.960383,170
566,2.793991,630
568,7.788546,366
569,3.226496,287
571,2.359164,96
572,5.011817,321
573,2.100033,619
574,1.127863,660
575,4.816632,90
577,2.681991,685
578,3.484930,308
580,0.967698,267
581,3.786846,372
582,3.797441,414
583,3.015718,85
584,1.718093,246
585,3.571770,457
586,2.401234,553
587,3.020836,397
589,1.310546,398
590,3.227074,295
591,5.420341,325
593,2.386187,462
594,2.355478,349
595,6.997950,679
596,4.243846,192
597,2.111696,679
598,1.788447,90
599,3.828424,509
600,3.027558,192
601,3.687368,363
603,3.801414,379
605,3.392783,608
606,2.609855,509
607,5.435122,403
609,2.980254,532
611,4.299488,532
613,2.397823,318
614,3.144689,218
616,5.156377,350
617,2.749711,102
620,2.936202,58
621,9.469468,612
622,1.686707,246
625,3.339838,211
626,5.797922,624
627,2.433022,576
628,4.163973,619
629,3.311172,701
631,2.231888,192
632,5.935325,470
633,2.362720,295
635,1.826728,72
636,6.586512,604
637,4.200909,526
638,2.734852,170
639,3.819230,372
641,1.273065,211
642,3.265752,98
643,4.952649,490
644,1.893478,23
645,3.337212,551
646,2.962624,567
647,4.435392,200
648,8.144326,290
649,3.161097,289
650,7.047422,715
651,1.547859,379
652,2.578107,446
653,2.358082,177
654,1.450347,136
655,2.115587,602
656,4.348272,525
657,3.718293,397
658,2.128504,160
659,4.362634,579
661,2.141547,602
663,3.650615,707
664,2.129575,532
665,1.329158,615
666,2.534510,562
667,2.288875,18
668,1.794476,267
669,3.715698,159
670,2.663731,660
671,2.231010,26
672,5.660572,397
673,5.251562,292
674,1.259033,493
675,0.874678,640
676,4.605802,308
677,6.286013,576
678,4.255609,660
680,3.653152,345
681,6.607170,132
682,2.809982,724
683,2.925710,346
684,3.266029,707
686,1.999734,267
687,5.289927,85
688,6.654777,525
689,5.438528,211
690,1.423358,466
691,5.289663,551
692,2.705022,85
693,1.744053,634
694,3.318488,240
695,2.798028,20
696,1.209478,385
697,1.551601,372
698,2.318328,388
699,4.994974,619
700,3.076503,395
702,4.683015,379
703,7.019226,399
704,2.373215,295
705,1.442661,321
706,4.728304,26
708,3.102473,624
709,2.152664,415
710,1.418909,612
711,2.871109,662
712,4.005623,144
713,2.750815,293
714,2.617118,502
716,3.153819,160
717,3.827877,466
718,5.771605,576
719,3.316846,619
720,3.237943,267
721,1.020988,525
723,3.985967,267
725,5.534587,604
726,4.306463,246
727,1.017433,285
